,FCR,kappa,hydropathy,charge,disorder
0,0.3157894736842105,0.16521187713255903,0.30964912280701756,0.15789473684210525,0.7368421052631579
1,0.40350877192982454,0.2846722089564277,0.3481481481481481,0.15789473684210525,0.7543859649122807
2,0.34285714285714286,0.20060453641828935,0.386984126984127,0.0,0.5714285714285714
3,0.4868421052631579,0.3126277528084131,0.33070175438596466,0.039473684210526314,0.7763157894736842
4,0.325,0.1365016816174556,0.4136111111111111,0.025,0.725
5,0.38235294117647056,0.3281780533163028,0.3387254901960783,0.029411764705882353,0.6911764705882353
6,0.3918918918918919,0.27608171116082136,0.37627627627627636,0.04054054054054054,0.6486486486486487
7,0.2,0.21937862692680976,0.39736111111111116,0.075,0.825
8,0.5411764705882353,0.3676737863927322,0.32535947712418295,0.09411764705882353,0.8117647058823529
9,0.3684210526315789,0.19032332935807222,0.33216374269005855,0.10526315789473684,0.6842105263157895
10,0.42592592592592593,0.1681161013329981,0.3905349794238681,0.05555555555555555,0.7222222222222222
11,0.45714285714285713,0.17313837460285222,0.3784126984126983,0.05714285714285714,0.6571428571428571
12,0.40707964601769914,0.2732547165412877,0.3335299901671582,0.07079646017699115,0.7876106194690266
13,0.46153846153846156,0.3200543187925673,0.33148148148148143,0.02564102564102564,0.7564102564102564
14,0.5783132530120482,0.077873389717511,0.3198125836680053,0.024096385542168676,0.7349397590361446
15,0.33884297520661155,0.18973753901047813,0.36951331496786033,0.024793388429752067,0.7520661157024794
16,0.43859649122807015,0.17063909735087804,0.3884990253411306,0.017543859649122806,0.6491228070175439
17,0.43103448275862066,0.1796926209555983,0.4088122605363988,0.05172413793103448,0.6896551724137931
18,0.5205479452054794,0.2459785964209086,0.30487062404870624,0.1917808219178082,0.7671232876712328
19,0.514018691588785,0.10346332134470368,0.3030114226375907,0.028037383177570093,0.719626168224299
20,0.5048543689320388,0.37598205891488456,0.3351672060409924,0.21359223300970873,0.7864077669902912
21,0.4772727272727273,0.16962059819814598,0.36944444444444413,0.045454545454545456,0.7386363636363636
22,0.2542372881355932,0.09196992358135574,0.41111111111111126,0.0847457627118644,0.711864406779661
23,0.4,0.28519558506622567,0.37010101010101015,0.10909090909090909,0.7090909090909091
24,0.43902439024390244,0.3811360721092111,0.32222222222222235,0.1951219512195122,0.8048780487804879
25,0.3409090909090909,0.16757056072472673,0.4494949494949498,0.1590909090909091,0.9090909090909091
26,0.2777777777777778,0.16578681930317068,0.44074074074074093,0.0,0.6388888888888888
27,0.40384615384615385,0.07736424506466465,0.34529914529914524,0.09615384615384616,0.7115384615384616
28,0.4878048780487805,0.25559301861857225,0.2780487804878048,0.0975609756097561,0.7317073170731707
29,0.45454545454545453,0.18936214783568292,0.3547474747474749,0.12727272727272726,0.6545454545454545
30,0.4594594594594595,0.15152781782856087,0.33963963963963967,0.13513513513513514,0.7027027027027027
31,0.4126984126984127,0.19835296049224732,0.3379188712522045,0.19047619047619047,0.8571428571428571
32,0.6153846153846154,0.02191186262862546,0.2908831908831909,0.05128205128205128,0.7692307692307693
33,0.48936170212765956,0.26312601878546416,0.3773049645390071,0.19148936170212766,0.6170212765957447
34,0.5777777777777777,0.12386108503090035,0.2930864197530864,0.17777777777777778,0.7111111111111111
35,0.6037735849056604,0.10282818310534651,0.30723270440251554,0.07547169811320754,0.8113207547169812
36,0.35555555555555557,0.2643930812637867,0.3585185185185184,0.08888888888888889,0.7333333333333333
37,0.45714285714285713,0.27000918702008925,0.3815873015873016,0.17142857142857143,0.8571428571428571
38,0.3873239436619718,0.187335067775023,0.3842723004694839,0.04929577464788732,0.7464788732394366
39,0.4473684210526316,0.17659434220267414,0.3292397660818712,0.07894736842105263,0.7105263157894737
40,0.2564102564102564,0.1223364534451139,0.4339031339031339,0.05128205128205128,0.6410256410256411
41,0.4418604651162791,0.38444228530610225,0.32609819121447037,0.16279069767441862,0.813953488372093
42,0.5526315789473685,0.1903580331648644,0.33654970760233915,0.13157894736842105,0.6842105263157895
43,0.4807692307692308,0.12887408870792386,0.3747863247863248,0.09615384615384616,0.7307692307692307
44,0.3217391304347826,0.15919457071534682,0.3938164251207726,0.02608695652173913,0.6782608695652174
45,0.42105263157894735,0.14434110655387278,0.39220272904483433,0.07017543859649122,0.7192982456140351
46,0.375,0.12677994559211084,0.34791666666666654,0.0,0.6875
47,0.48936170212765956,0.28792675293681774,0.33853427895981075,0.02127659574468085,0.776595744680851
48,0.4838709677419355,0.10945278841065305,0.34534050179211456,0.0,0.6451612903225806
49,0.5,0.2364289232410219,0.31646825396825395,0.0,0.6964285714285714
50,0.42,0.22475638649321367,0.27266666666666667,0.1,0.86
51,0.453125,0.15155870185668163,0.3848958333333331,0.046875,0.65625
52,0.453125,0.22611983059229615,0.35902777777777756,0.015625,0.640625
53,0.26229508196721313,0.08919727544557597,0.427686703096539,0.03278688524590164,0.6721311475409836
54,0.5,0.3379641546122316,0.3708333333333333,0.05,0.675
55,0.5294117647058824,0.16914800559407384,0.33507625272331143,0.058823529411764705,0.7254901960784313
56,0.5,0.14018857038197394,0.35656565656565653,0.16666666666666666,0.7272727272727273
57,0.35135135135135137,0.3826715463023012,0.4117117117117116,0.08108108108108109,0.7027027027027027
58,0.5072463768115942,0.10507475564433627,0.33381642512077303,0.07246376811594203,0.8260869565217391
59,0.40350877192982454,0.17254001543961567,0.3785575048732943,0.15789473684210525,0.6842105263157895
60,0.45714285714285713,0.10413476799001728,0.4555555555555556,0.05714285714285714,0.7428571428571429
